rider_no,rider_name,manufacturer,team,nation,run_no,front_tyre,rear_tyre,lap_no,lap_time_s,t1,t2,t3,t4,speed,pit,cancelled
9,Danilo PETRUCCI,KTM,Tech 3 KTM Factory Racing,,2,Slick-Medium,Slick-Medium,9,124.965,29.025,34.308,29.534,32.098,341.7,False,False
9,Danilo PETRUCCI,KTM,Tech 3 KTM Factory Racing,,2,Slick-Medium,Slick-Medium,10,116.378,25.38,30.381,28.76,31.857,342.8,False,False
9,Danilo PETRUCCI,KTM,Tech 3 KTM Factory Racing,,2,Slick-Medium,Slick-Medium,11,122.615,25.358,32.886,31.328,33.043,342.8,False,False
9,Danilo PETRUCCI,KTM,Tech 3 KTM Factory Racing,,2,Slick-Medium,Slick-Medium,12,122.829,27.841,33.515,29.8,31.673,342.8,True,False
9,Danilo PETRUCCI,KTM,Tech 3 KTM Factory Racing,,3,Slick-Medium,Slick-Medium,13,128.093,32.149,30.861,29.445,35.638,160.4,False,False
9,Danilo PETRUCCI,KTM,Tech 3 KTM Factory Racing,,3,Slick-Medium,Slick-Medium,14,124.768,25.295,30.462,35.271,33.74,338.5,False,False
9,Danilo PETRUCCI,KTM,Tech 3 KTM Factory Racing,,3,Slick-Medium,Slick-Medium,15,116.476,25.346,30.489,28.696,31.945,341.7,False,False
89,Jorge MARTIN,DUCATI,Pramac Racing,SPA,1,Slick-Medium,Slick-Medium,1,142.206,33.465,32.235,30.182,32.852,159.5,False,False
89,Jorge MARTIN,DUCATI,Pramac Racing,SPA,1,Slick-Medium,Slick-Medium,2,121.047,25.948,30.895,31.98,32.224,351.7,False,False
89,Jorge MARTIN,DUCATI,Pramac Racing,SPA,1,Slick-Medium,Slick-Medium,3,117.555,25.7,30.8,29.066,31.989,354.0,False,False
89,Jorge MARTIN,DUCATI,Pramac Racing,SPA,1,Slick-Medium,Slick-Medium,4,117.703,25.761,30.941,29.096,31.905,354.0,False,False
89,Jorge MARTIN,DUCATI,Pramac Racing,SPA,1,Slick-Medium,Slick-Medium,5,126.154,28.592,32.802,32.148,32.612,350.6,False,False
89,Jorge MARTIN,DUCATI,Pramac Racing,SPA,1,Slick-Medium,Slick-Medium,6,118.279,26.714,30.74,30.419,30.406,354.0,True,False
89,Jorge MARTIN,DUCATI,Pramac Racing,SPA,2,Slick-Medium,Slick-Medium,7,124.258,31.001,31.244,29.832,32.181,160.9,False,False
89,Jorge MARTIN,DUCATI,Pramac Racing,SPA,2,Slick-Medium,Slick-Medium,8,117.481,25.652,30.754,29.125,31.95,348.3,False,False
89,Jorge MARTIN,DUCATI,Pramac Racing,SPA,2,Slick-Medium,Slick-Medium,9,117.296,25.627,30.772,29.098,31.799,348.3,False,False
89,Jorge MARTIN,DUCATI,Pramac Racing,SPA,2,Slick-Medium,Slick-Medium,10,120.964,27.576,31.54,29.473,32.375,348.3,False,False
89,Jorge MARTIN,DUCATI,Pramac Racing,SPA,2,Slick-Medium,Slick-Medium,11,115.918,25.769,31.047,30.105,28.997,349.5,True,False
89,Jorge MARTIN,DUCATI,Pramac Racing,SPA,3,Slick-Soft,Slick-Medium,12,124.441,32.197,31.225,29.142,31.877,169.0,False,False
89,Jorge MARTIN,DUCATI,Pramac Racing,SPA,3,Slick-Soft,Slick-Medium,13,116.671,25.703,30.466,28.865,31.637,336.4,False,False
89,Jorge MARTIN,DUCATI,Pramac Racing,SPA,3,Slick-Soft,Slick-Medium,14,118.765,27.693,30.527,28.792,31.753,350.6,False,False
89,Jorge MARTIN,DUCATI,Pramac Racing,SPA,3,Slick-Soft,Slick-Medium,15,116.541,25.443,30.463,28.887,31.748,350.6,False,False
89,Jorge MARTIN,DUCATI,Pramac Racing,SPA,3,Slick-Soft,Slick-Medium,16,120.425,25.42,30.749,30.607,33.649,350.6,False,True
32,Lorenzo SAVADORI,APRILIA,,ITA,1,Slick-Hard,Slick-Medium,1,142.234,36.974,33.159,30.717,33.196,92.2,False,False
32,Lorenzo SAVADORI,APRILIA,,ITA,1,Slick-Hard,Slick-Medium,2,118.639,26.456,30.924,29.094,32.165,323.3,False,False
32,Lorenzo SAVADORI,APRILIA,,ITA,1,Slick-Hard,Slick-Medium,3,126.841,29.79,35.77,29.08,32.201,340.6,False,False
32,Lorenzo SAVADORI,APRILIA,,ITA,1,Slick-Hard,Slick-Medium,4,118.069,25.881,30.757,29.026,32.405,342.8,False,True
32,Lorenzo SAVADORI,APRILIA,,ITA,1,Slick-Hard,Slick-Medium,5,124.693,29.685,34.033,30.223,30.752,338.5,True,False
32,Lorenzo SAVADORI,APRILIA,,ITA,2,Slick-Hard,Slick-Medium,6,124.887,32.171,31.39,29.206,32.12,167.4,False,False
32,Lorenzo SAVADORI,APRILIA,,ITA,2,Slick-Hard,Slick-Medium,7,118.183,25.705,30.839,29.123,32.516,337.5,False,False
32,Lorenzo SAVADORI,APRILIA,,ITA,2,Slick-Hard,Slick-Medium,8,133.366,34.007,36.925,29.816,32.618,338.5,False,False
32,Lorenzo SAVADORI,APRILIA,,ITA,2,Slick-Hard,Slick-Medium,9,117.813,25.897,30.95,28.891,32.075,337.5,False,False
32,Lorenzo SAVADORI,APRILIA,,ITA,2,Slick-Hard,Slick-Medium,10,117.112,25.529,30.564,29.012,32.007,341.7,False,False
32,Lorenzo SAVADORI,APRILIA,,ITA,2,Slick-Hard,Slick-Medium,11,129.1,33.104,33.549,30.827,31.62,340.6,True,False
32,Lorenzo SAVADORI,APRILIA,,ITA,3,Slick-Hard,Slick-Medium,12,133.33,34.399,33.571,33.22,32.14,157.8,False,False
32,Lorenzo SAVADORI,APRILIA,,ITA,3,Slick-Hard,Slick-Medium,13,116.842,25.632,30.401,28.899,31.91,338.5,False,False
32,Lorenzo SAVADORI,APRILIA,,ITA,3,Slick-Hard,Slick-Medium,14,116.559,25.468,30.445,28.724,31.922,340.6,False,False
32,Lorenzo SAVADORI,APRILIA,,ITA,3,Slick-Hard,Slick-Medium,15,128.107,31.392,33.518,30.434,32.763,338.5,False,False
27,Iker LECUONA,KTM,Tech 3 KTM Factory Racing,SPA,1,Slick-Hard,Slick-Medium,1,142.562,33.014,33.068,30.722,33.391,151.6,False,False
27,Iker LECUONA,KTM,Tech 3 KTM Factory Racing,SPA,1,Slick-Hard,Slick-Medium,2,118.67,26.492,30.915,29.144,32.119,331.2,False,False
27,Iker LECUONA,KTM,Tech 3 KTM Factory Racing,SPA,1,Slick-Hard,Slick-Medium,3,117.532,25.87,30.437,28.915,32.31,348.3,False,False
27,Iker LECUONA,KTM,Tech 3 KTM Factory Racing,SPA,1,Slick-Hard,Slick-Medium,4,117.139,25.898,30.483,28.803,31.955,339.6,False,False
27,Iker LECUONA,KTM,Tech 3 KTM Factory Racing,SPA,1,Slick-Hard,Slick-Medium,5,123.243,31.529,30.855,28.875,31.984,347.2,False,False
27,Iker LECUONA,KTM,Tech 3 KTM Factory Racing,SPA,1,Slick-Hard,Slick-Medium,6,117.081,25.831,30.415,28.869,31.966,345.0,False,False
27,Iker LECUONA,KTM,Tech 3 KTM Factory Racing,SPA,1,Slick-Hard,Slick-Medium,7,119.644,25.604,33.991,29.589,30.46,346.1,True,False
27,Iker LECUONA,KTM,Tech 3 KTM Factory Racing,SPA,2,Slick-Hard,Slick-Medium,8,126.371,31.086,31.734,29.636,33.915,173.9,False,False
27,Iker LECUONA,KTM,Tech 3 KTM Factory Racing,SPA,2,Slick-Hard,Slick-Medium,9,117.878,26.013,30.737,28.946,32.182,322.3,False,False
27,Iker LECUONA,KTM,Tech 3 KTM Factory Racing,SPA,2,Slick-Hard,Slick-Medium,10,116.927,25.645,30.486,28.887,31.909,343.9,False,False
27,Iker LECUONA,KTM,Tech 3 KTM Factory Racing,SPA,2,Slick-Hard,Slick-Medium,11,116.653,25.522,30.318,28.854,31.959,341.7,False,True
27,Iker LECUONA,KTM,Tech 3 KTM Factory Racing,SPA,2,Slick-Hard,Slick-Medium,12,117.647,25.545,30.382,28.882,32.838,345.0,True,False
27,Iker LECUONA,KTM,Tech 3 KTM Factory Racing,SPA,3,Slick-Hard,Slick-Medium,13,127.813,32.487,33.751,29.452,32.123,156.9,False,False
27,Iker LECUONA,KTM,Tech 3 KTM Factory Racing,SPA,3,Slick-Hard,Slick-Medium,14,117.042,25.545,30.494,28.887,32.116,342.8,False,False
27,Iker LECUONA,KTM,Tech 3 KTM Factory Racing,SPA,3,Slick-Hard,Slick-Medium,15,116.943,25.519,30.362,28.883,32.179,343.9,False,False
